# Chunk-averaged data for fix 3 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_mytemp
10000 50 1500
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 20 266.864
  4 0.07 20 272.38
  5 0.09 40 283.396
  6 0.11 39.99 288.633
  7 0.13 20.01 282.279
  8 0.15 40 290.509
  9 0.17 39.98 291.153
  10 0.19 20.02 296.112
  11 0.21 40 296.199
  12 0.23 39.85 293.846
  13 0.25 20.15 290.3
  14 0.27 40 291.51
  15 0.29 39.39 289.881
  16 0.31 20.61 303.023
  17 0.33 40 309.282
  18 0.35 37.26 304.364
  19 0.37 22.74 295.576
  20 0.39 40 291.183
  21 0.41 33.15 298.172
  22 0.43 26.85 289.03
  23 0.45 40 286.865
  24 0.47 27.6 289.434
  25 0.49 32.4 293.049
  26 0.51 40 304.625
  27 0.53 23.12 305.015
  28 0.55 36.88 303.886
  29 0.57 40 296.088
  30 0.59 20.97 296.455
  31 0.61 39.03 306.489
  32 0.63 40 297.67
  33 0.65 20.18 307.859
  34 0.67 39.82 300.639
  35 0.69 40 295.981
  36 0.71 20.01 291.882
  37 0.73 39.99 293.166
  38 0.75 40 291.597
  39 0.77 20 291.068
  40 0.79 40 296.17
  41 0.81 40 309.377
  42 0.83 20 301.496
  43 0.85 40 305.144
  44 0.87 40 300.054
  45 0.89 20 303.245
  46 0.91 40 291.273
  47 0.93 40 291.53
  48 0.95 20 268.055
  49 0.97 0 0
  50 0.99 0 0
20000 50 1500
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 20 198.807
  4 0.07 20 197.249
  5 0.09 40 208.865
  6 0.11 40 254.016
  7 0.13 20 267.112
  8 0.15 40 264.022
  9 0.17 40 270.82
  10 0.19 20 272.264
  11 0.21 40 276.805
  12 0.23 39.95 280.993
  13 0.25 20.05 276.627
  14 0.27 40 274.576
  15 0.29 39.36 287.371
  16 0.31 20.64 283.096
  17 0.33 40 290.052
  18 0.35 37.02 288.468
  19 0.37 22.98 295.418
  20 0.39 40 293.352
  21 0.41 33.42 293.249
  22 0.43 26.58 303.25
  23 0.45 40 299.259
  24 0.47 28.59 293.42
  25 0.49 31.41 303.775
  26 0.51 40 300.977
  27 0.53 24.24 294.29
  28 0.55 35.76 294.652
  29 0.57 40 303.782
  30 0.59 21.69 299.91
  31 0.61 38.31 304.391
  32 0.63 40 304.921
  33 0.65 20.29 321.033
  34 0.67 39.71 314.777
  35 0.69 40 307.618
  36 0.71 20.03 311.853
  37 0.73 39.97 303.396
  38 0.75 40 312.434
  39 0.77 20 318.614
  40 0.79 40 319.229
  41 0.81 40 323.649
  42 0.83 20 314.862
  43 0.85 40 328.746
  44 0.87 40 333.701
  45 0.89 20 342.913
  46 0.91 40 389.616
  47 0.93 40 400.001
  48 0.95 20 402.851
  49 0.97 0 0
  50 0.99 0 0
30000 50 1500
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 20 202.815
  4 0.07 20 199.735
  5 0.09 40 213.138
  6 0.11 40 260.556
  7 0.13 20 273.575
  8 0.15 40 275.109
  9 0.17 40 275.089
  10 0.19 20 265.145
  11 0.21 40 276.562
  12 0.23 39.95 278.239
  13 0.25 20.05 275.741
  14 0.27 40 280.12
  15 0.29 39.4 282.734
  16 0.31 20.6 290.193
  17 0.33 40 284.11
  18 0.35 37.09 287.474
  19 0.37 22.91 294.099
  20 0.39 40 278.085
  21 0.41 33.25 280.525
  22 0.43 26.75 294.93
  23 0.45 40 297.866
  24 0.47 28.72 303.548
  25 0.49 31.28 299.898
  26 0.51 40 293.626
  27 0.53 24.61 302.753
  28 0.55 35.39 302.988
  29 0.57 40 306.358
  30 0.59 21.39 303.887
  31 0.61 38.61 307.159
  32 0.63 40 311.329
  33 0.65 20.25 306.916
  34 0.67 39.75 308.415
  35 0.69 40 308.547
  36 0.71 20.03 320.606
  37 0.73 39.97 318.553
  38 0.75 40 320.89
  39 0.77 20 335.618
  40 0.79 40 320.404
  41 0.81 40 324.956
