# Chunk-averaged data for fix 3 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_mytemp
10000 50 1500
  42 0.83 20 322.88
  43 0.85 40 331.535
  44 0.87 40 334.114
  45 0.89 20 348.261
  46 0.91 40 388.337
  47 0.93 40 403.71
  48 0.95 20 404.169
  49 0.97 0 0
  50 0.99 0 0
40000 50 1500
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 20 203.063
  4 0.07 20 203.991
  5 0.09 40 208.564
  6 0.11 40 254.499
  7 0.13 20 265.86
  8 0.15 40 267.373
  9 0.17 40 273.173
  10 0.19 20 294.998
  11 0.21 40 274.766
  12 0.23 39.85 284.639
  13 0.25 20.15 292.337
  14 0.27 40 289.176
  15 0.29 38.69 291.767
  16 0.31 21.31 292.097
  17 0.33 40 288.743
  18 0.35 36.06 288.572
  19 0.37 23.94 286.811
  20 0.39 40 293.725
  21 0.41 32.56 293.919
  22 0.43 27.44 294.798
  23 0.45 40 291.605
  24 0.47 28.64 312.494
  25 0.49 31.36 311.215
  26 0.51 40 313.462
  27 0.53 24.46 309.335
  28 0.55 35.54 305.703
  29 0.57 40 301.725
  30 0.59 21.6 311.643
  31 0.61 38.4 304.144
  32 0.63 40 315.104
  33 0.65 20.47 315.132
  34 0.67 39.53 311.7
  35 0.69 40 320.211
  36 0.71 20.06 315.236
  37 0.73 39.94 321.832
  38 0.75 40 331.773
  39 0.77 20 324.303
  40 0.79 40 318.894
  41 0.81 40 331.63
  42 0.83 20 322.079
  43 0.85 40 335.381
  44 0.87 40 340.102
  45 0.89 20 352.306
  46 0.91 40 396.684
  47 0.93 40 391.241
  48 0.95 20 402.46
  49 0.97 0 0
  50 0.99 0 0
50000 50 1500
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 20 195.769
  4 0.07 20 200.79
  5 0.09 40 206.034
  6 0.11 40 266.761
  7 0.13 20 261.242
  8 0.15 40 268.936
  9 0.17 40 268.341
  10 0.19 20 267.224
  11 0.21 40 285.9
  12 0.23 39.92 277.866
  13 0.25 20.08 277.081
  14 0.27 40 283.251
  15 0.29 39.4 282.054
  16 0.31 20.6 281.408
  17 0.33 40 287.003
  18 0.35 37.34 287.66
  19 0.37 22.66 283.879
  20 0.39 40 291.939
  21 0.41 33.74 296.272
  22 0.43 26.26 296.575
  23 0.45 40 299.529
  24 0.47 28.69 304.051
  25 0.49 31.31 296.942
  26 0.51 40 301.45
  27 0.53 23.71 308.323
  28 0.55 36.29 314.974
  29 0.57 40 310.867
  30 0.59 21.54 313.078
  31 0.61 38.46 312.807
  32 0.63 40 317.754
  33 0.65 20.34 331.264
  34 0.67 39.66 323.267
  35 0.69 40 312.915
  36 0.71 20.02 320.319
  37 0.73 39.98 325.606
  38 0.75 40 326.003
  39 0.77 20 325.051
  40 0.79 40 330.023
  41 0.81 40 336.805
  42 0.83 20 329.988
  43 0.85 40 331.963
  44 0.87 40 338.151
  45 0.89 20 354.988
  46 0.91 40 395.744
  47 0.93 40 396.28
  48 0.95 20 400.553
  49 0.97 0 0
  50 0.99 0 0
60000 50 1500
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 20 205.734
  4 0.07 20 205.448
  5 0.09 40 205.175
  6 0.11 40 256.008
  7 0.13 20 265.789
  8 0.15 40 274.929
  9 0.17 40 283.216
  10 0.19 20 282.65
  11 0.21 40 274.398
  12 0.23 39.89 287.177
  13 0.25 20.11 279.833
  14 0.27 40 287.935
  15 0.29 39.38 289.473
  16 0.31 20.62 279.934
  17 0.33 40 290.755
  18 0.35 37.49 286.287
  19 0.37 22.51 292.929
  20 0.39 40 290.876
  21 0.41 33.62 287.979
  22 0.43 26.38 284.488
  23 0.45 40 296.557
  24 0.47 28.46 301.723
  25 0.49 31.54 304.103
  26 0.51 40 307.391
  27 0.53 23.62 310.814
  28 0.55 36.38 309.648
  29 0.57 40 317.812
  30 0.59 21.28 311.819
  31 0.61 38.72 321.09
  32 0.63 40 316.114
  33 0.65 20.31 320.637
  34 0.67 39.69 313.068
  35 0.69 40 315.444
  36 0.71 20.04 319.419
  37 0.73 39.96 320.077
  38 0.75 40 319.855
  39 0.77 20 326.747
  40 0.79 40 328.69
  41 0.81 40 323.497
  42 0.83 20 322.563
  43 0.85 40 324.913
  44 0.87 40 336.357
  45 0.89 20 341.864
  46 0.91 40 390.955
  47 0.93 40 402.991
  48 0.95 20 393.609
  49 0.97 0 0
  50 0.99 0 0
