Num,MolWt,ExactMolWt,HeavyAtomMolWt,NumValenceElectrons,NumRadicalElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,BalabanJ,BertzCT,Chi0,Chi1,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,FractionCSP3,HallKierAlpha,HeavyAtomCount,Kappa1,Kappa2,Kappa3,LabuteASA,MolLogP,MolMR,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,RingCount,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,TPSA,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,MP
517,88.226,88.0708,76.13,32,0,1.2,1.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36561,211.332,14.5,7,3.5,3,2.25,0,0,14.5,7,0.75,0,0,33.9745,0,0,0,0,0,0,0,16.4491,0,0,1,0.216883,5,0.352744,1.12906,440.581,52.0747,1.9544,29.21,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,25.9007,0,24.523,0,0,0,0,0,0,0,16.4491,0,0,0,25.9007,0,0,0,0,8.07387,0,8.07387,0,0,16.4491,0,25.9007,0,0,0,0,0,0,85.4282,0,0,0,0,0,0,-14.1319,-5.60185,0,7.11902,7.11902,3.53299,-5.60185,-99
518,208.33,208.113,188.17,80,0,0.692308,1,1.23077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14654,554.003,27.3284,13.8284,7.13299,4.26599,3.13299,2.11237,1.125,26.133,12.633,1.3165,0.704124,0.375,62.6915,0,0,0,0,0,0,17.704,27.4152,0,0,1,0.0568831,13,1.847,7.45972,4.72976,109.722,1.568,52.258,0,4,0,0,0,0,0,0,4,0,5,12,0,0,0,17.704,0,0,0,0,0,27.4076,42.685,10.9661,0,0,0,0,9.04796,0,45.1192,0,0,0,27.4076,26.2359,0,0,0,9.04796,0,35.2839,17.704,0,54.8227,0,0,0,0,0,0,0,36.92,163.327,0,0,0,0,0,0,-31.9162,-6.71636,0,7.51202,7.51202,3.86764,-6.71636,-85.5
519,163.507,161.923,158.467,38,0,1.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74841,130.787,9.5,4.5,5.90168,6.10252,8.71197,1.27563,0,7.63389,3.56695,0.622759,0.141737,0,18.8513,0,0,0,0,0,0,0,40.0907,0,0,1,1.08688,6,2.13612,2.40844,5.08688,59.5359,2.6616,33.794,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,33.2369,6.85189,5.9962,6.85379,0,0,0,0,0,6.00319,0,6.85379,0,0,0,12.8481,0,0,0,0,39.2401,0,6.00319,0,0,13.7057,0,5.9962,0,0,0,0,33.2369,0,34.1882,0,0,0,-2.68981,-3.83275,0,-2.87056,0,15.7327,6.99923,6.99923,2.68981,-3.83275,-105.6
520,236.536,236.108,212.344,80,0,0.692308,1.07692,1.30769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37133,657.694,30.9142,15.4142,9.3165,8.44949,7.77398,5.34279,4.44318,30.3165,14.8165,2.18308,0.593644,0.45202,76.997,0,0,0,0,0,0,0,41.1285,0,0,1,0.570649,13,1.60343,3.9772,8.88885,119.877,3.3912,66.344,0,2,0,0,0,0,0,0,2,0,5,12,0,0,0,8.23029,0,0,0,0,0,51.8013,32.8982,0,0,16.6348,0,0,8.56091,0,41.1285,0,0,0,51.8013,0,0,0,0,25.1957,0,25.1957,8.23029,0,32.8982,0,51.8013,0,0,0,0,0,18.46,194.434,0,0,0,0,0,0,-34.4969,-20.8536,0,7.80721,7.80721,4.27205,-7.16481,-80
521,370.775,370.094,340.535,120,0,0.4,0.55,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.39849,911.139,41.0355,21.0355,14.5412,13.6237,13.8415,12.9356,11.9208,39.5412,19.5412,3.59322,1.43729,1.1162,107.556,0,0,0,0,0,0,0,61.6985,0,0,1,0.884416,20,3.18918,5.50691,6.33249,170.873,3.592,92.835,0,5,0,1,1,0,0,0,5,0,10,10,0,1,1,20.5757,0,0,0,0,0,64.7517,41.1228,0,0,0,0,0,42.8046,1,61.6985,0,0,0,64.7517,0,0,0,0,42.8046,0,42.8046,20.5757,0,41.1228,0,64.7517,0,0,0,0,0,46.15,268.561,0,0,0,0,0,0,-47.0547,-38.0341,0,8.11576,8.11576,4.70547,-7.60681,-38
522,76.642,77.9525,72.61,8,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02372,19.1194,4.5,2,2.59808,0,0,0,0,4.5,2,0,0,0,17.042,0,0,0,0,0,0,0,3.70938,0,0,0,0.542857,1,0.0220312,0.384962,3.91128,21.8532,-1.4516,11.334,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7514,0,0,3.70938,0,0,0,0,0,0,0,17.042,0,20.7514,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0,-4,6.125,6.125,4,-4,-166.11
523,189.617,189.84,189.617,18,2,1.33333,1.33333,1.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63299,2.75489,2.70711,1.41421,5.62189,7.60639,4.31242,0,0,1.25593,0.377964,0.0714286,0,0,18.8889,0,0,0,0,0,0,0,17.8423,0,0,0,1.3787,3,4.3787,3.3787,3.3787,36.7628,0.9982,17.46,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.7313,0,0,0,0,0,0,0,0,0,0,36.7313,0,18.8889,0,0,0,0,0,0,0,0,0,17.8423,0,0,0,0,0,0,0,0,0,9.86778,-0.825556,4.93389,4.93389,0.825556,-0.825556,246
524,225.647,225.861,221.615,34,2,1.6,1.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.00E-08,21.2842,8.12132,4.24264,6.43839,7.60639,4.31242,0,0,6.07243,2.01096,0.0714286,0,0,18.8889,0,0,0,0,0,0,10.9615,23.5671,0,0,0,1.2987,5,3.3197,18.5301,34.1851,53.6908,-0.6512,24.6876,4,2,0,0,0,0,0,0,0,0,5,0,0,0,0,10.9615,0,0,0,0,0,0,0,0,0,0,5.7248,0,36.7313,0,10.9615,5.7248,0,0,0,0,0,0,0,36.7313,0,35.5752,0,0,0,0,0,0,0,0,0,17.8423,63,21.5,0,0,5.5,0,0,0,0,9.86778,-0.825556,5.375,5.375,0.825556,-0.825556,38
525,118.711,119.902,118.711,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3541,0,0,0,0,0.5,0,0,0,0,0,23.9076,0,0,0,0,0,0,0,0,0,0,0.798701,1,1.7987,0.0507338,1.80683,24.447,-0.3808,5.754,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23.9076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9076,0,23.9076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.67
526,248.942,250.038,230.798,60,0,1,1.5,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54433,558.056,23.5774,11.6547,7.76235,6.22341,4.38488,2.4867,1.39048,22.9082,11.2041,1.07912,0.477062,0.207281,67.7191,0,0,0,0,0,0,0,24.6737,3.07694,0,1,0.598701,10,1.28204,7.70288,6.715,96.6135,3.0086,45.8705,0,1,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.4697,0,27.7506,0,0,0,47.9732,0,0,0,0,19.7459,0,19.7459,3.07694,0,63.8691,0,8.77769,0,0,0,0,0,17.07,137.543,0,0,0,0,0,-16.1876,-7.54303,0,-6.26616,12.6764,12.6764,3.77151,-6.26616,105
